size,time_microseconds
500,2.6
600,3.6
700,4.2
800,4.8
900,5.2
1000,6.6
1100,7.2
1200,7.8
1300,8.8
1400,9.4
1500,10.6
1600,11
1700,11.6
1800,12.2
1900,12.6
2000,15.2
2100,15.4
2200,16.6
2300,16.6
2400,17.6
2500,18.6
2600,19.8
2700,21.4
2800,21.6
2900,22.2
3000,23.4
3100,23.8
3200,24.4
3300,25.2
3400,25.6
3500,27.4
3600,26.8
3700,27.8
3800,28.8
3900,30.4
4000,33.2
4100,34.6
4200,35.8
4300,36.4
4400,38
4500,37
4600,37.6
4700,40
4800,39.4
4900,41.2
5000,41.2
5100,43
5200,44.2
5300,44.8
5400,46.4
5500,46.2
5600,49.2
5700,48.2
5800,49.4
5900,49.2
6000,51.2
6100,51.6
6200,51.4
6300,52.6
6400,54.4
6500,54.4
6600,55.4
6700,56.8
6800,57.4
6900,59.8
7000,60.2
7100,59.8
7200,59.8
7300,60.8
7400,62.4
7500,62.8
7600,63
7700,64.2
7800,67.8
7900,71
8000,74.6
8100,75.4
8200,74.8
8300,75.2
8400,76.8
8500,78.8
8600,79.4
8700,77.8
8800,80.8
8900,82.6
9000,82.6
9100,84.8
9200,85
9300,85
9400,87
9500,85.6
9600,87.8
9700,88.4
9800,88.6
9900,90.8
10000,89.6
