size,time_microseconds
500,7.6
600,10.2
700,12.2
800,14.4
900,16.2
1000,16.2
1100,16.8
1200,20.2
1300,23.2
1400,25.6
1500,27
1600,29.4
1700,32.2
1800,34.8
1900,33.6
2000,33.6
2100,33
2200,35.6
2300,36.6
2400,41.4
2500,46
2600,48
2700,49.8
2800,49.2
2900,54
3000,53.2
3100,57
3200,60.8
3300,60.6
3400,64.8
3500,69
3600,70.8
3700,71.4
3800,73.6
3900,75.8
4000,70.4
4100,68.8
4200,70
4300,74.6
4400,72.6
4500,76.4
4600,76.2
4700,81.8
4800,85.8
4900,88.6
5000,96.2
5100,97.2
5200,102.6
5300,103.4
5400,107
5500,111.6
5600,107.6
5700,109.8
5800,113.6
5900,115.2
6000,112.2
6100,115.6
6200,118.6
6300,120.2
6400,122.4
6500,130.6
6600,131.6
6700,129.6
6800,133
6900,137.8
7000,132.6
7100,131.6
7200,144.6
7300,147.8
7400,149
7500,149.8
7600,147
7700,141
7800,146.6
7900,147.6
8000,144.4
8100,143.8
8200,148
8300,152.6
8400,150.2
8500,150.6
8600,153.6
8700,152.2
8800,159.8
8900,159.8
9000,163
9100,162.2
9200,160
9300,163.2
9400,176.6
9500,180.6
9600,181.6
9700,192
9800,191
9900,191.8
10000,195.2
