size,time_microseconds
500,10.6
600,14.8
700,17.2
800,21.4
900,28.2
1000,33.8
1100,34.6
1200,39.8
1300,44.8
1400,47.6
1500,52.8
1600,56.2
1700,61
1800,66.8
1900,68.6
2000,77.2
2100,82.2
2200,85.4
2300,90.8
2400,94
2500,100.2
2600,103.6
2700,106.2
2800,111
2900,116.6
3000,123.4
3100,126.6
3200,131
3300,137
3400,137.6
3500,143.4
3600,149.4
3700,153.2
3800,159.8
3900,167.8
4000,175.2
4100,180.4
4200,185
4300,189.2
4400,195.8
4500,195.6
4600,200.8
4700,206.8
4800,209
4900,216.8
5000,222.2
5100,228
5200,233
5300,237.4
5400,237.8
5500,245
5600,252.4
5700,257
5800,266.6
5900,267.4
6000,269.8
6100,275.2
6200,281.8
6300,288
6400,290.8
6500,294.4
6600,301.4
6700,306.6
6800,311.6
6900,316.4
7000,321.4
7100,325.2
7200,329.8
7300,331.2
7400,339.6
7500,343.8
7600,349.6
7700,365.8
7800,367.8
7900,375.2
8000,386.8
8100,388.8
8200,392
8300,398.8
8400,405.2
8500,405.8
8600,422
8700,426.2
8800,425.4
8900,434
9000,436.8
9100,444
9200,446.2
9300,452.6
9400,457.2
9500,457.8
9600,465.2
9700,473.6
9800,487.4
9900,486.6
10000,497.8
