size,time_microseconds
500,49.8
600,55.8
700,74.8
800,79.8
900,99.2
1000,152.2
1100,118.2
1200,116.2
1300,119.6
1400,127.4
1500,139
1600,149
1700,145.8
1800,138.6
1900,144.6
2000,156.6
2100,134.2
2200,130.2
2300,134
2400,198.4
2500,230.2
2600,266.8
2700,312.8
2800,385.6
2900,380
3000,339.4
3100,303.4
3200,271.4
3300,243
3400,220.4
3500,199.2
3600,202
3700,206.8
3800,217.6
3900,222.4
4000,228.4
4100,233.6
4200,245.2
4300,247.6
4400,254.6
4500,260.6
4600,265.6
4700,272.6
4800,280.2
4900,286
5000,290.6
5100,299.2
5200,306.4
5300,311
5400,317.6
5500,322.2
5600,328.2
5700,341
5800,343.6
5900,351.4
6000,359.6
6100,366.6
6200,367.4
6300,380.6
6400,382.8
6500,388.6
6600,396.2
6700,403.4
6800,415
6900,418.8
7000,427.6
7100,433.8
7200,435
7300,445.2
7400,459.4
7500,462.6
7600,467.6
7700,470.8
7800,480.6
7900,489.2
8000,494.4
8100,503.8
8200,507.2
8300,509.6
8400,519.6
8500,529.2
8600,539
8700,549.8
8800,553
8900,562
9000,568.6
9100,570.4
9200,570.6
9300,586.6
9400,587.8
9500,596
9600,602
9700,610
9800,617.6
9900,623.2
10000,625.4
