size,time_microseconds
500,4.6
600,5.6
700,6.8
800,8.4
900,9.6
1000,10.4
1100,12.8
1200,12.2
1300,13.8
1400,15.6
1500,17.8
1600,18
1700,20
1800,21.6
1900,22.2
2000,24.6
2100,25.4
2200,26.8
2300,28.4
2400,30.6
2500,30.2
2600,33
2700,34.8
2800,36.2
2900,37.4
3000,39.2
3100,41
3200,42.6
3300,43.4
3400,44.4
3500,46.2
3600,46.8
3700,48.2
3800,50.4
3900,51.8
4000,52.6
4100,54.4
4200,56
4300,58.4
4400,60.2
4500,59.2
4600,61.4
4700,64.8
4800,64.6
4900,65
5000,67.6
5100,66.4
5200,70.6
5300,73.8
5400,75.4
5500,76.4
5600,78.4
5700,81.6
5800,83.6
5900,84.6
6000,86.8
6100,85.8
6200,88.4
6300,89.4
6400,91
6500,92.6
6600,94.4
6700,95.6
6800,96
6900,97.6
7000,99.8
7100,102
7200,99.2
7300,102.4
7400,104.2
7500,106.2
7600,108
7700,109.6
7800,110.2
7900,111.6
8000,114.6
8100,115.2
8200,116.2
8300,118.8
8400,120.6
8500,123
8600,123.2
8700,127.8
8800,127.4
8900,127.8
9000,129.2
9100,130.2
9200,129.2
9300,133
9400,134.6
9500,136
9600,138
9700,138
9800,140.4
9900,142.4
10000,144.4
