size,time_microseconds
500,9.2
600,9.6
700,11
800,13.2
900,15.2
1000,16.6
1100,20.2
1200,20
1300,22.8
1400,24.4
1500,25.6
1600,28
1700,30.8
1800,31.6
1900,34.2
2000,36.4
2100,38.8
2200,39.2
2300,41
2400,44.8
2500,45
2600,49.8
2700,52
2800,52
2900,55.4
3000,58.4
3100,61
3200,63.8
3300,64.8
3400,67.8
3500,70.8
3600,70.6
3700,75.8
3800,77.6
3900,79
4000,81.6
4100,82.6
4200,84.4
4300,88.6
4400,89
4500,89.6
4600,92.6
4700,95
4800,100.4
4900,99.4
5000,103.2
5100,105.4
5200,108.2
5300,105.4
5400,109
5500,112
5600,112.8
5700,112.8
5800,117.8
5900,119
6000,122.2
6100,122.8
6200,129.2
6300,132.8
6400,134.4
6500,135.8
6600,137
6700,140.8
6800,143.4
6900,143.4
7000,148.8
7100,148.8
7200,152.2
7300,152
7400,156.2
7500,161.2
7600,162.2
7700,162.4
7800,166.2
7900,164.4
8000,163.6
8100,162.6
8200,165.8
8300,167
8400,171
8500,172.6
8600,173
8700,176.4
8800,182.2
8900,186.2
9000,192
9100,193.6
9200,194.2
9300,197.4
9400,203
9500,203
9600,201.8
9700,199
9800,209.6
9900,214.8
10000,208.6
