N,S_wide,S_wide_rel_error,S_tight,S_tight_rel_error
100,0.72,0.237706,0.79,0.163594
600,1.05,0.111679,0.771667,0.183004
1100,0.932727,0.0124825,0.796364,0.156856
1600,1.06875,0.13153,0.77375,0.180798
2100,0.96,0.0163923,0.78,0.174181
2600,0.948462,0.00417605,0.776154,0.178253
3100,0.955161,0.0112694,0.797742,0.155397
3600,0.9525,0.00845174,0.788611,0.165064
4100,0.939512,0.00529899,0.795854,0.157396
4600,0.917609,0.0284891,0.781087,0.17303
5100,0.933529,0.0116332,0.785882,0.167953
5600,0.948214,0.00391427,0.798571,0.154519
6100,0.897049,0.0502564,0.782951,0.171057
6600,0.942273,0.0023763,0.780606,0.17354
7100,0.981127,0.0387601,0.780282,0.173883
7600,0.903553,0.0433709,0.776711,0.177664
8100,0.932222,0.0130172,0.781358,0.172743
8600,0.932442,0.0127847,0.786628,0.167164
9100,0.899011,0.0481793,0.796484,0.156729
9600,0.928125,0.0173551,0.784375,0.169549
10100,0.937426,0.00750801,0.78901,0.164642
10600,0.99,0.0481546,0.790472,0.163094
11100,0.971351,0.0284105,0.782973,0.171034
11600,0.988448,0.0465117,0.790345,0.163229
12100,0.967686,0.0245297,0.783388,0.170594
12600,0.959286,0.0156361,0.778175,0.176114
13100,0.93916,0.00567155,0.783969,0.169979
13600,0.943015,0.00159074,0.781912,0.172157
14100,0.967021,0.023826,0.788227,0.165471
14600,0.997397,0.0559864,0.78726,0.166494
15100,0.923245,0.0225217,0.782914,0.171096
15600,0.953654,0.00967337,0.779936,0.174249
16100,0.95087,0.00672553,0.785714,0.168131
16600,0.930904,0.0144133,0.78259,0.171439
17100,0.942105,0.0025536,0.788772,0.164894
17600,0.939886,0.00490285,0.783295,0.170692
18100,0.927348,0.0181777,0.784586,0.169326
18600,0.954677,0.0107571,0.786935,0.166838
19100,0.925445,0.0201925,0.784136,0.169802
19600,0.944541,2.50185e-05,0.783214,0.170778
20100,0.948806,0.00454072,0.788358,0.165332
20600,0.946311,0.00189885,0.783252,0.170738
21100,0.940948,0.00377899,0.781374,0.172726
21600,0.936667,0.00831167,0.789306,0.164329
22100,0.948054,0.00374489,0.787828,0.165893
22600,0.957743,0.0140031,0.785265,0.168606
23100,0.933506,0.0116575,0.782468,0.171569
23600,0.951102,0.0069713,0.792076,0.161396
24100,0.963112,0.0196871,0.788465,0.165219
24600,0.947927,0.00360993,0.785732,0.168113
25100,0.963825,0.0204417,0.786494,0.167306
25600,0.948516,0.00423332,0.788086,0.16562
26100,0.93931,0.0055127,0.787701,0.166028
26600,0.947707,0.00337694,0.786767,0.167017
27100,0.949815,0.00560955,0.789926,0.163672
27600,0.965543,0.0222614,0.783514,0.17046
28100,0.942918,0.00169297,0.784733,0.16917
28600,0.955699,0.011839,0.783462,0.170516
29100,0.93433,0.0107857,0.788969,0.164685
29600,0.931014,0.0142969,0.786216,0.1676
30100,0.954718,0.0107996,0.783754,0.170207
30600,0.957353,0.0135898,0.786634,0.167158
31100,0.941383,0.00331868,0.783923,0.170028
31600,0.943576,0.000996527,0.781329,0.172774
32100,0.947664,0.00333119,0.784953,0.168937
32600,0.936994,0.00796526,0.782055,0.172005
33100,0.967432,0.0242609,0.786918,0.166856
33600,0.951696,0.00760097,0.782649,0.171377
34100,0.949091,0.00484239,0.786393,0.167413
34600,0.917428,0.0286807,0.784711,0.169194
35100,0.957436,0.0136776,0.787578,0.166158
35600,0.942978,0.0016301,0.788989,0.164664
36100,0.938144,0.00674751,0.782327,0.171718
36600,0.955082,0.0111854,0.785219,0.168656
37100,0.972776,0.0299191,0.786496,0.167304
37600,0.950505,0.00633989,0.787314,0.166438
38100,0.951024,0.00688864,0.784226,0.169707
38600,0.955725,0.0118666,0.782124,0.171932
39100,0.932225,0.0130142,0.784399,0.169524
39600,0.935,0.0100762,0.781768,0.17231
40100,0.949601,0.00538244,0.785062,0.168822
40600,0.959187,0.0155318,0.781232,0.172877
41100,0.952774,0.00874154,0.787397,0.16635
41600,0.966851,0.0236457,0.787115,0.166648
42100,0.959002,0.0153361,0.78734,0.16641
42600,0.964014,0.0206422,0.785869,0.167968
43100,0.94594,0.00150605,0.785452,0.168409
43600,0.955734,0.0118757,0.786697,0.167091
44100,0.952857,0.00882986,0.785986,0.167843
44600,0.909081,0.0375181,0.785964,0.167867
45100,0.937517,0.00741178,0.787716,0.166012
45600,0.943026,0.00157845,0.781974,0.172092
46100,0.926551,0.0190216,0.784989,0.168899
46600,0.970107,0.0270933,0.788112,0.165593
47100,0.969363,0.0263054,0.786879,0.166898
47600,0.919853,0.0261131,0.783761,0.1702
48100,0.952204,0.00813808,0.786403,0.167402
48600,0.966852,0.0236466,0.786111,0.167711
49100,0.969287,0.026225,0.787597,0.166138
49600,0.948266,0.00396916,0.784113,0.169827
50100,0.935389,0.00966416,0.787425,0.16632
50600,0.912273,0.0341386,0.785909,0.167925
51100,0.942094,0.0025656,0.781898,0.172172
51600,0.930523,0.014816,0.7875,0.166241
52100,0.941459,0.00323811,0.785662,0.168186
52600,0.944829,0.000330022,0.785627,0.168223
53100,0.964576,0.0212374,0.78339,0.170592
53600,0.938955,0.00588868,0.78444,0.16948
54100,0.925952,0.0196558,0.785712,0.168134
54600,0.921923,0.0239213,0.784396,0.169527
55100,0.943775,0.000785831,0.787078,0.166687
55600,0.941439,0.00325916,0.789137,0.164508
56100,0.944118,0.000423009,0.786453,0.167349
56600,0.94659,0.00219469,0.784276,0.169654
57100,0.95359,0.00960597,0.787828,0.165893
57600,0.948594,0.00431603,0.78283,0.171185
58100,0.927728,0.0177754,0.784768,0.169134
58600,0.966809,0.0236011,0.78343,0.17055
59100,0.966701,0.0234864,0.782521,0.171512
59600,0.947265,0.00290933,0.787886,0.165832
60100,0.934443,0.0106664,0.78406,0.169883
60600,0.95495,0.0110462,0.783515,0.17046
61100,0.933142,0.012043,0.78581,0.16803
61600,0.921477,0.0243933,0.785097,0.168784
62100,0.942754,0.00186716,0.786651,0.16714
